,unique_date,id,created_at,text,fav,RT,date
2017-03-09,2017-03-09,8.398306394195272e+17,2017-03-09 13:30:02,ICYMI: Moscow Sees Bright Future for Infrastructure W/ #Blockchain https://t.co/4n7xDUbBdW #russia #infrastructure… https://t.co/pHo1wcNXbj,8.0,9.0,2017-03-09
2017-03-10,2017-03-10,8.402050829730816e+17,2017-03-10 14:17:56,So...how are we all feeling today?https://t.co/CSKJdNeXJ5 #bitcoinetf #bitcoin https://t.co/sMw0GGBv6I,17.0,18.0,2017-03-10
2017-03-11,2017-03-11,8.405778067278275e+17,2017-03-11 14:59:00,ICYMI: Bitcoin #Privacy for All: Breeze Wallet Is About to Bring TumbleBit to Life https://t.co/t71T7x5dKO #bitcoin… https://t.co/tuFUDzFVZo,41.0,40.0,2017-03-11
2017-03-12,2017-03-12,,,,,,
2017-03-13,2017-03-13,8.41408278680617e+17,2017-03-13 21:59:00,ICYMI: Ireland Is Becoming a “Landing Spot” for #Blockchain Tech https://t.co/nf8tHWxqNv #ireland #bitcoin #fintech https://t.co/u8NMlfOAYT,13.0,12.0,2017-03-13
2017-03-14,2017-03-14,8.4168731868783e+17,2017-03-14 16:27:49,Fusing Blockchain and IoT: An Interview With Filament’s CEO https://t.co/xNzUfVN9QI #blockchain #iot #fintech… https://t.co/OpYvcv8ay4,16.0,13.0,2017-03-14
2017-03-15,2017-03-15,8.420564076880568e+17,2017-03-15 16:54:26,Qtum Reveals “Go-Mobile” Strategy for Smart Contracts and IoT https://t.co/KLnNKV8YBh @QtumOfficial #blockchain… https://t.co/cisFztXOGz,13.0,9.0,2017-03-15
2017-03-16,2017-03-16,8.424863982718362e+17,2017-03-16 21:23:04,BABB Is Building a Mobile Bank on Blockchain Tech — But Sticking With Fiat https://t.co/QAx2TR5d5l #blockchain… https://t.co/2BMMDvo3PN,21.0,21.0,2017-03-16
2017-03-17,2017-03-17,8.427771980880855e+17,2017-03-17 16:38:36,"MIT Sloan CIO Symposium 2017. Theme - The CIO Adventure: Now, Next...Beyond. Join us on May 24, 2017, register at https://t.co/RbfYQLs695",8.0,9.0,2017-03-17
2017-03-18,2017-03-18,8.431077254248407e+17,2017-03-18 14:32:00,Bitcoin Traders Report Some Bank Accounts Still Being Terminated https://t.co/BKxrCvEUct #bitcoin #banking… https://t.co/MQTUmD3oFt,18.0,29.0,2017-03-18
