,date,average block size,difficulty,estimated transaction volumes in usd,estimated transaction volumes,hash rate,market capitalization,miners revenues,number of orphaned blocks,number of transactions per blocks,number of unique addresses,total bitcoins,trade volumes,transaction fees,price
238,2017-09-02 00:00:00,0.8090010182926829,888171856257.0,918257379.5479617,200475.91684273,7240807.042125395,75760868525.75699,10374577.6422,10374577.6422,1443.969512195122,536081.0,16540275.0,16540275.0,290.49925993,4580.3874799999985
239,2017-09-03 00:00:00,0.7657666623376623,888171856257.0,795926407.7951647,171234.72742958,6799294.417605555,76890792076.29668,9700709.885216668,9700709.885216668,1268.1103896103896,437076.0,16542200.0,16542200.0,239.13526989,4648.159983333334
240,2017-09-04 00:00:00,0.9276607771428572,888171856257.0,1422579714.8570426,327474.10651346,7726470.929097221,71870445889.03104,10527922.270441666,10527922.270441666,1538.7428571428575,561328.0,16544387.5,16544387.5,325.4016802,4344.0983166666665
241,2017-09-05 00:00:00,0.7635656243654823,888171856257.0,1403653848.428348,312706.91971194,8697798.703040872,74274178848.559,11928773.77205,11928773.77205,1410.9035532994924,601576.0,16546850.0,16546850.0,281.90480312,4488.720139999999
242,2017-09-06 00:00:00,0.9041358024691358,903315386418.9012,1347017552.0214765,290191.55564021,7430760.765994303,76816932326.06458,10290919.41095,10290919.41095,1705.0925925925924,587813.0,16548875.0,16548875.0,272.59987797,4641.822016666666
243,2017-09-07 00:00:00,0.8100413181818182,922724699725.0,1261424204.1056025,271002.52448286,8072925.276635787,77039601932.88751,11050159.279,11050159.279,1456.6704545454545,526959.0,16551075.0,16551075.0,257.33579475,4654.658500000001
244,2017-09-08 00:00:00,0.9131877142857144,922724699725.0,1024260564.1263994,237606.1057972,8027056.383018538,71356979356.6398,10028960.301525,10028960.301525,1597.0742857142857,606485.0,16553262.5,16553262.5,217.76572461,4310.750183333334
245,2017-09-09 00:00:00,0.7317358579881656,922724699725.0,778259235.6389524,177865.07807325,7751843.021315045,72439028688.42,9554034.21192,9554034.21192,1289.2899408284025,452503.0,16555375.0,16555375.0,144.85041627,4375.559520000001
246,2017-09-10 00:00:00,0.7842028550724638,922724699725.0,875474655.9534281,202190.24353681,6329907.319180332,71691497930.5,7845878.46,7845878.46,1400.2898550724638,412029.0,16557100.0,16557100.0,143.23841995,4329.955
247,2017-09-11 00:00:00,0.8293522586206896,922724699725.0,848892503.35962,199829.21737278,7981187.489401288,70345290810.7379,9592187.257633332,9592187.257633332,1456.8505747126435,537474.0,16559275.0,16559275.0,159.73383041,4248.090016666666
